dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
79;49;2023-07-10;43793;43556;36887;2312;1923;102;46935.0;93.3;92.8;78.6;4.9;4.1;0.2
79;59;2023-07-10;48625;48446;43976;7400;4943;622;51543.0;94.3;94.0;85.3;14.4;9.6;1.2
79;09;2023-07-10;883;667;3;0;0;0;20395.0;4.3;3.3;0.0;0.0;0.0;0.0
79;64;2023-07-10;23976;23891;22472;9556;4981;1682;25806.0;92.9;92.6;87.1;37.0;19.3;6.5
79;69;2023-07-10;22968;22881;21806;11291;6228;2247;24473.0;93.9;93.5;89.1;46.1;25.4;9.2
79;74;2023-07-10;22235;22138;21238;12186;6691;2776;23409.0;95.0;94.6;90.7;52.1;28.6;11.9
79;79;2023-07-10;13959;13874;13286;8364;4684;2249;15684.0;89.0;88.5;84.7;53.3;29.9;14.3
79;80;2023-07-10;26704;26313;24103;15311;8918;4875;28944.0;92.3;90.9;83.3;52.9;30.8;16.8
80;04;2023-07-10;13;3;2;0;0;0;26752.0;0.0;0.0;0.0;0.0;0.0;0.0
80;11;2023-07-10;1947;1629;54;0;16;0;14394.0;13.5;11.3;0.4;0.0;0.1;0.0
80;17;2023-07-10;39688;38872;10690;276;542;3;43223.0;91.8;89.9;24.7;0.6;1.3;0.0
80;24;2023-07-10;46795;46286;35998;961;742;23;52865.0;88.5;87.6;68.1;1.8;1.4;0.0
80;29;2023-07-10;28983;28650;21783;813;638;40;31690.0;91.5;90.4;68.7;2.6;2.0;0.1
80;39;2023-07-10;61485;60944;47905;2166;1702;118;66213.0;92.9;92.0;72.3;3.3;2.6;0.2
80;49;2023-07-10;66392;65958;56103;4175;3320;250;69541.0;95.5;94.8;80.7;6.0;4.8;0.4
80;59;2023-07-10;70836;70551;63591;11679;7742;1264;73740.0;96.1;95.7;86.2;15.8;10.5;1.7
80;09;2023-07-10;1518;1235;12;1;0;0;32101.0;4.7;3.8;0.0;0.0;0.0;0.0
80;64;2023-07-10;33971;33852;31604;14456;7587;2999;35267.0;96.3;96.0;89.6;41.0;21.5;8.5
80;69;2023-07-10;32610;32483;30658;16837;9296;4004;34005.0;95.9;95.5;90.2;49.5;27.3;11.8
80;74;2023-07-10;31405;31222;29655;17969;10130;4808;32279.0;97.3;96.7;91.9;55.7;31.4;14.9
80;79;2023-07-10;18438;18313;17238;11161;6305;3391;20902.0;88.2;87.6;82.5;53.4;30.2;16.2
80;80;2023-07-10;29696;29221;26295;16758;9539;5785;33356.0;89.0;87.6;78.8;50.2;28.6;17.3
