dep;sexe;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
64;0;2023-07-10;567355;561659;442290;119511;74082;27625;82.0;81.2;63.9;17.3;10.7;4.0
65;0;2023-07-10;185478;183383;145728;37584;21352;7130;80.3;79.4;63.1;16.3;9.2;3.1
66;0;2023-07-10;381947;377100;292175;80714;48521;19894;78.7;77.7;60.2;16.6;10.0;4.1
67;0;2023-07-10;907298;898670;703724;166786;99020;34110;78.4;77.7;60.8;14.4;8.6;2.9
68;0;2023-07-10;568346;562201;434655;94103;54428;17276;73.9;73.2;56.6;12.2;7.1;2.2
69;0;2023-07-10;1467740;1453121;1097989;269715;172680;65487;76.8;76.0;57.4;14.1;9.0;3.4
70;0;2023-07-10;184767;182907;145478;32336;17394;5746;79.5;78.7;62.6;13.9;7.5;2.5
71;0;2023-07-10;448103;444097;357874;102332;58078;21501;82.0;81.3;65.5;18.7;10.6;3.9
72;0;2023-07-10;465318;460801;367873;100648;57934;22522;82.4;81.6;65.2;17.8;10.3;4.0
73;0;2023-07-10;349005;345474;259640;63767;40685;13873;79.0;78.2;58.7;14.4;9.2;3.1
74;0;2023-07-10;613476;607483;438442;93781;57571;18320;72.2;71.5;51.6;11.0;6.8;2.2
75;0;2023-07-10;1783988;1765829;1395363;362867;254917;97415;83.4;82.5;65.2;17.0;11.9;4.6
76;0;2023-07-10;1021030;1010970;809690;223167;135481;54717;81.4;80.6;64.6;17.8;10.8;4.4
77;0;2023-07-10;1083005;1070407;797595;175372;107821;40485;75.0;74.1;55.2;12.1;7.5;2.8
78;0;2023-07-10;1151957;1139767;873155;217571;144557;57765;78.7;77.9;59.7;14.9;9.9;3.9
79;0;2023-07-10;311536;308678;250587;68402;40238;14610;83.2;82.4;66.9;18.3;10.7;3.9
80;0;2023-07-10;463777;459219;371588;97252;57559;22685;81.9;81.1;65.6;17.2;10.2;4.0
81;0;2023-07-10;309772;306336;240868;63158;37654;12909;78.8;77.9;61.3;16.1;9.6;3.3
82;0;2023-07-10;203400;200824;155086;38561;22501;8274;77.0;76.0;58.7;14.6;8.5;3.1
83;0;2023-07-10;854967;843362;646138;171474;102217;39355;78.0;77.0;59.0;15.7;9.3;3.6
84;0;2023-07-10;431313;425448;319216;79678;48105;18144;76.6;75.6;56.7;14.2;8.5;3.2
85;0;2023-07-10;596960;592073;478644;141502;85506;31491;85.4;84.7;68.4;20.2;12.2;4.5
86;0;2023-07-10;350380;346960;281115;82987;50652;20453;79.6;78.8;63.9;18.9;11.5;4.6
87;0;2023-07-10;303294;300384;244099;71941;43683;16970;82.0;81.2;66.0;19.5;11.8;4.6
88;0;2023-07-10;291269;288529;229912;56747;31542;10452;81.3;80.6;64.2;15.8;8.8;2.9
89;0;2023-07-10;264288;261331;206037;57588;33942;13762;80.1;79.2;62.4;17.4;10.3;4.2
90;0;2023-07-10;105036;103951;80512;18454;10631;3731;76.3;75.5;58.5;13.4;7.7;2.7
91;0;2023-07-10;989285;977245;723504;167386;107933;42377;75.2;74.3;55.0;12.7;8.2;3.2
92;0;2023-07-10;1280429;1267977;983190;230804;156424;58363;77.9;77.2;59.8;14.0;9.5;3.6
93;0;2023-07-10;1124376;1106264;743898;124239;71180;23223;67.0;65.9;44.3;7.4;4.2;1.4
94;0;2023-07-10;1053567;1041773;772383;173773;112540;42217;73.5;72.6;53.8;12.1;7.8;2.9
95;0;2023-07-10;924869;912616;652039;132847;79493;29791;72.5;71.5;51.1;10.4;6.2;2.3
971;0;2023-07-10;152189;146147;89052;8933;4103;1021;40.8;39.2;23.9;2.4;1.1;0.3
972;0;2023-07-10;150824;145560;92934;9048;3581;1055;43.0;41.5;26.5;2.6;1.0;0.3
973;0;2023-07-10;100359;90493;46361;3569;1604;313;34.1;30.7;15.7;1.2;0.5;0.1
974;0;2023-07-10;580670;568420;371833;31462;10270;3430;66.8;65.4;42.8;3.6;1.2;0.4
976;0;2023-07-10;162398;139831;51569;2044;1941;89;54.3;46.7;17.2;0.7;0.6;0.0
977;0;2023-07-10;9018;8745;6039;458;138;49;89.1;86.4;59.7;4.5;1.4;0.5
978;0;2023-07-10;14857;14004;6940;743;366;108;43.6;41.1;20.4;2.2;1.1;0.3
